scientificName	accession	taxid
plasmid	NZ_CP044717	47466
plasmid	NZ_CP044718	47466
plasmid	NC_006571	68570
plasmid	NZ_CP044719	47466
plasmid	NZ_CP044720	47466
plasmid	NZ_CP044721	47466
plasmid	NZ_CP044722	47466
plasmid	NZ_CP044723	47466
plasmid	NZ_CP044724	47466
plasmid	NZ_CP044725	47466
plasmid	NZ_CP044726	47466
plasmid	NZ_CP044727	47466
plasmid	NZ_CP044728	47466
plasmid	NC_010915	78057
plasmid	NZ_CP044729	47466
plasmid	NZ_CP044730	47466
plasmid	NZ_CP044731	47466
plasmid	NZ_CP044732	47466
plasmid	NZ_CP044733	47466
plasmid	NZ_CP044734	47466
plasmid	NZ_CP044735	47466
plasmid	NZ_CP044736	47466
plasmid	NZ_CP044737	47466
plasmid	NZ_CP044739	47466
plasmid	NC_004160	82367
plasmid	NZ_CP044740	47466
plasmid	NZ_CP044741	47466
plasmid	NZ_CP044742	47466
plasmid	NZ_CP044743	47466
plasmid	NZ_CP044744	47466
plasmid	NZ_CP044745	47466
plasmid	NZ_CP044746	47466
plasmid	NZ_CP044747	47466
plasmid	NZ_CP044748	47466
plasmid	NZ_CP044749	47466
plasmid	NC_002117	83554
plasmid	NZ_CP044750	47466
plasmid	NZ_CP044752	47466
plasmid	NZ_CP044753	47466
plasmid	NZ_CP044754	47466
plasmid	NZ_CP044755	47466
plasmid	NZ_CP044756	47466
plasmid	NZ_CP044758	47466
plasmid	NZ_CP044759	47466
plasmid	NZ_CP044761	47466
plasmid	NZ_CP044762	47466
plasmid	NC_012890	84156
plasmid	NC_007203	1428
plasmid	NZ_CP044763	47466
plasmid	NZ_CP044764	47466
plasmid	NZ_CP044766	47466
plasmid	NZ_CP044767	47466
plasmid	NZ_CP044768	47466
plasmid	NZ_CP044769	47466
plasmid	NZ_CP044770	47466
plasmid	NZ_CP044771	47466
plasmid	NZ_CP044772	47466
plasmid	NZ_CP044773	47466
plasmid	NC_006493	84600
plasmid	NZ_CP044774	47466
plasmid	NZ_CP044775	47466
plasmid	NZ_CP044776	47466
plasmid	NZ_CP044777	47466
plasmid	NZ_CP044778	47466
plasmid	NZ_CP044779	47466
plasmid	NZ_CP044780	47466
plasmid	NZ_CP044781	47466
plasmid	NZ_CP044782	47466
plasmid	NZ_CP043618	2590022
plasmid	NC_003411	85404
plasmid	NZ_CP045184	83526
plasmid	NZ_CP045182	231049
plasmid	NZ_CP045183	231049
plasmid	NZ_CP045177	83656
plasmid	NG_066766	562
plasmid	NZ_LR723676	136098
plasmid	NZ_LR723671	1335061
plasmid	NZ_LR723672	1335061
plasmid	NZ_LR723673	1335061
plasmid	NZ_LR723674	1335061
plasmid	NC_006830	762376
plasmid	NZ_LR723678	97707
plasmid	NZ_LR723679	97707
plasmid	NZ_LR723680	97707
plasmid	NZ_LR723681	97707
plasmid	NZ_CP017198	115778
plasmid	NZ_CP017199	115778
plasmid	NZ_CP017200	115778
plasmid	NZ_LR723669	1435607
plasmid	NZ_CP044019	756892
plasmid	NZ_CP044020	756892
plasmid	NC_010615	85701
plasmid	NZ_CP045074	135740
plasmid	NZ_CP045225	1496
plasmid	NZ_CP045297	128574
plasmid	NZ_CP045223	85698
plasmid	NZ_CP045301	69964
plasmid	NZ_CP045303	69964
plasmid	NZ_CP045217	59814
plasmid	NZ_CP045218	59814
plasmid	NZ_CP045219	59814
plasmid	NZ_CP045294	1473112
plasmid	NC_004969	87791
plasmid	NZ_CP045296	562959
plasmid	NZ_CP045203	2653932
plasmid	NZ_CP045204	2653932
plasmid	NZ_CP045278	562
plasmid	NZ_CP045279	562
plasmid	NZ_CP045280	562
plasmid	NZ_CP045281	562
plasmid	NZ_CP045282	562
plasmid	NZ_CP045283	562
plasmid	NZ_CP045284	562
plasmid	NC_014164	89059
plasmid	NZ_CP045285	562
plasmid	NZ_CP045286	562
plasmid	NZ_CP045299	551989
plasmid	NZ_CP045426	1423
plasmid	NZ_CP045351	2587862
plasmid	NZ_CP045352	2587862
plasmid	NZ_CP045353	2587862
plasmid	NZ_CP045419	2587843
plasmid	NZ_CP045319	2588299
plasmid	NZ_CP045320	2588299
plasmid	NC_006528	390874
plasmid	NZ_CP045321	2588299
plasmid	NZ_CP045322	2588299
plasmid	NZ_CP045323	2588299
plasmid	NZ_CP045361	2587858
plasmid	NZ_CP045362	2587858
plasmid	NZ_CP045363	2587858
plasmid	NZ_CP045364	2587858
plasmid	NZ_CP045365	2587858
plasmid	NZ_CP045366	2587858
plasmid	NZ_CP045370	2587856
plasmid	NC_004811	96345
plasmid	NZ_CP045371	2587856
plasmid	NZ_CP045385	2587853
plasmid	NZ_CP045386	2587853
plasmid	NZ_CP045387	2587853
plasmid	NZ_CP045388	2587853
plasmid	NZ_CP045421	2587842
plasmid	NZ_CP045390	2587852
plasmid	NZ_CP045391	2587852
plasmid	NZ_CP045373	2587855
plasmid	NZ_CP045374	2587855
plasmid	NC_009476	105751
plasmid	NZ_CP045375	2587855
plasmid	NZ_CP045376	2587855
plasmid	NZ_CP045377	2587855
plasmid	NZ_CP045378	2587855
plasmid	NZ_CP045379	2587855
plasmid	NZ_CP045339	2587865
plasmid	NZ_CP045340	2587865
plasmid	NZ_CP045341	2587865
plasmid	NZ_CP045342	2587865
plasmid	NZ_CP045343	2587865
plasmid	NC_006988	115714
plasmid	NC_002773	42897
plasmid	NZ_CP045356	2587860
plasmid	NZ_CP045357	2587860
plasmid	NZ_CP045358	2587860
plasmid	NZ_CP045405	2587847
plasmid	NZ_CP045406	2587847
