scientificName	nuccoreAcc	taxid
Enterobacteriaceae	KU254579	543
Enterobacteriaceae	CP017726	543
Escherichia coli	CP021847	562
Escherichia coli	CP010215	562
Escherichia coli	MK092064	562
Escherichia coli	CP033634	562
Escherichia coli	CP027439	562
Enterobacteriaceae	MH626558	543
Escherichia coli	CP043219	562
Enterobacteriaceae	CP041534	543
Escherichia coli	CP043748	562
Enterobacteriaceae	LT838198	543
Escherichia coli	CP042642	562
Enterobacteriaceae	CP041102	543
Enterobacteriaceae	CP035752	543
Enterobacteriaceae	CP037904	543
Enterobacteriaceae	CP015914	543
Enterobacteriaceae	CP043759	543
Enterobacteriaceae	CP024151	543
Enterobacteriaceae	CP026403	543
Salmonella enterica	CP023471	28901
Escherichia coli	CP027551	562
Escherichia coli	AP017611	562
Escherichia coli	CP012626	562
Escherichia coli	LS992167	562
Escherichia coli	AF550679	562
Escherichia coli	CP012377	562
Escherichia coli	CP023367	562
Escherichia coli	CP019456	562
Escherichia coli	CP023959	562
Escherichia coli	KJ484634	562
Escherichia coli	MG878866	562
Escherichia coli	HG003695	562
Escherichia coli	AP018147	562
Escherichia coli	FQ482074	562
Escherichia coli	CP041564	562
Escherichia coli	MK492688	562
Escherichia coli	CP027130	562
Escherichia coli	CP019561	562
Escherichia coli	CP035355	562
Escherichia coli	AY214164	562
Escherichia coli	CP031295	562
Escherichia coli	CP024133	562
Enterobacteriaceae	MG197491	543
Enterobacteriaceae	CP034592	543
Enterobacteriaceae	MG197500	543
Enterobacteriaceae	MK419152	543
Escherichia coli	CP031766	562
Enterobacteriaceae	CP024975	543
Escherichia coli	CP042629	562
Escherichia coli	MG677985	562
Escherichia coli	CP019244	562
Escherichia coli	AP018354	562
Escherichia coli	KT845955	562
Escherichia	CP018107	561
Escherichia	CP024284	561
Escherichia coli	CP040265	562
Escherichia coli	AP010910	562
Escherichia coli	CP029104	562
Escherichia coli	CP024296	562
Escherichia coli	CP024662	562
Escherichia coli	CP025850	562
Escherichia coli	CP024249	562
Escherichia coli	CP006001	562
Escherichia coli	CP018958	562
Escherichia coli	CP028193	562
Klebsiella pneumoniae	CP040995	573
Klebsiella pneumoniae	CP032836	573
Enterobacteriaceae	MF363048	543
Enterobacteriaceae	CP023821	543
Enterobacteriaceae	LS999561	543
Escherichia coli	AB255435	562
Escherichia coli	FN554767	562
Escherichia coli	AP014804	562
Enterobacteriaceae	CP028322	543
Enterobacteriaceae	CP035470	543
Enterobacteriaceae	CP035518	543
Enterobacteriaceae	CP041530	543
Enterobacteriaceae	LS992194	543
Enterobacteriaceae	CP027377	543
Enterobacteriaceae	CP044156	543
Enterobacteriaceae	CP041545	543
Enterobacteriaceae	CP012632	543
Enterobacteriaceae	LT174531	543
Enterobacteriaceae	LT985217	543
Enterobacteriaceae	MH909349	543
Enterobacteriaceae	CP032205	543
Enterobacteriaceae	CP023828	543
Enterobacteriaceae	CP000913	543
Enterobacteriaceae	CP019910	543
Escherichia coli	CP024242	562
Escherichia coli	FR851303	562
Escherichia coli	CP037947	562
Escherichia coli	CP023369	562
Escherichia coli	AP018811	562
Enterobacteriaceae	CP041523	543
Enterobacteriaceae	CP000244	543
Enterobacteriaceae	MH316135	543
Enterobacteriaceae	CP041579	543
Enterobacteriaceae	CP015072	543
Enterobacteriaceae	KY751926	543
Enterobacteriaceae	LS992188	543
Enterobacteriaceae	KX839209	543
Enterobacteriaceae	CP010239	543
Agrobacterium tumefaciens	CP000631	358
Blastomonas sp. RAC04	CP016458	1842535
Escherichia coli	CP012493	562
Escherichia coli	CP042949	562
Escherichia coli	CP028121	562
Escherichia coli	AP019763	562
Escherichia coli	CP014077	562
Escherichia coli	CP024055	562
Escherichia coli	CP045828	562
Escherichia coli	AF401292	562
Escherichia coli	CP015856	562
Escherichia coli	CP013028	562
Escherichia coli	CP028115	562
Escherichia coli	CP037942	562
Escherichia coli	AP009243	562
Escherichia coli	CP010201	562
Escherichia coli	CP002730	562
Escherichia coli	CP042633	562
Escherichia coli	CP010187	562
Escherichia coli	CP011136	562
Enterobacteriaceae	CP041619	543
Enterobacteriaceae	CP003035	543
Enterobacteriaceae	CP024887	543
Enterobacterales	CP011639	91347
Enterobacteriaceae	MF497780	543
Enterobacteriaceae	CP027606	543
Pseudomonas aeruginosa	CP027168	287
Gammaproteobacteria	KC609323	1236
Gammaproteobacteria	MF497782	1236
Gammaproteobacteria	NC_019151	1236
Gammaproteobacteria	CP018949	1236
Gammaproteobacteria	HQ589350	1236
Gammaproteobacteria	CP036441	1236
Gammaproteobacteria	CP026123	1236
Acinetobacter sp. ACNIH2	CP026418	1758189
Enterobacteriaceae	CP018815	543
Enterobacteriaceae	CP021900	543
Escherichia coli	KU295131	562
