scientificName	nuccoreAcc	taxid	parent	source
Sinorhizobium_fredii	CP001389	380	663276	NCBI-REF
Sinorhizobium_medicae	CP000738	110321	28105	NCBI-REF
Sinorhizobium_meliloti	AL591688	382	28105	NCBI-REF
Solanum_lycopersicum	MF034192	4081	49274	UGA SME
Staphylococcus_aureus	CP009554	1280	1279	NCBI-REF
Staphylococcus_epidermidis	AE015929	1282	1279	NCBI-REF
Staphylococcus_warneri	CP032159	1292	1279	NCBI-REF
Streptococcus_agalactiae	AE009948	1311	1301	NCBI-REF
Streptococcus_mitis	FN568063	28037	3409772	NCBI-REF
Streptococcus_mutans	AE014133	1309	1301	NCBI-REF
Streptococcus_oralis	CP066021	1303	1301	FDA-ARGOS
Streptococcus_pneumoniae	CP000936	487214	1313	NCBI-REF
Streptococcus_pseudopneumoniae	CP002925	257758	1301	NCBI-REF
Streptococcus_pyogenes	AE004092	1314	1301	NCBI-REF
Streptococcus_sanguinis	CP000387	1305	1301	NCBI-REF
Streptococcus_suis	FM252032	1307	1301	NCBI-REF
Sus_scrofa	FJ236999	9823	9822	UGA SME
Thermanaerovibrio_acidaminovorans	CP001818	81462	81461	NCBI-REF
Thermoanaerobacter_pseudethanolicus	CP000924	496866	1754	NCBI-REF
Thermodesulfovibrio_yellowstonii	CP001147	28262	28261	NCBI-REF
Thermosynechococcus_elongatus	BA000039	146786	146785	NCBI-REF
Thermotoga_maritima	AE000512	2336	2335	NCBI-REF
Thermus_thermophilus	AP008226	274	270	NCBI-REF
Thunnus_alalunga	AB101291	8235	8234	UGA SME
Treponema_denticola	AE017226	158	157	NCBI-REF
Treponema_pallidum	AE000520	160	157	NCBI-REF
Ureaplasma_parvum	CP000942	134821	2129	NCBI-REF
Vibrio_alginolyticus	CP035699	663	717610	CDC SME
Vibrio_alginolyticus	CP035700	663	717610	CDC SME
Vibrio_cholerae_O1	CP038178	127906	666	CDC SME
Vibrio_cholerae_O1	CP038179	127906	666	CDC SME
Vibrio_cidicii	CP046803	1763883	662	CDC SME
Vibrio_cidicii	CP046804	1763883	662	CDC SME
Vibrio_cincinnatiensis	CP035697	675	662	CDC SME
Vibrio_cincinnatiensis	CP035698	675	662	CDC SME
Vibrio_fluvialis	CP051126	676	662	CDC SME
Vibrio_fluvialis	CP051127	676	662	CDC SME
Vibrio_furnissii	CP046797	29494	662	CDC SME
Vibrio_furnissii	CP046798	29494	662	CDC SME
Vibrio_harveyi	CP035692	669	717610	CDC SME
Vibrio_harveyi	CP035693	669	717610	CDC SME
Vibrio_metoecus	CP046817	1481663	662	CDC SME
Vibrio_metoecus	CP046818	1481663	662	CDC SME
Vibrio_metschnikovii	CP035684	28172	662	CDC SME
Vibrio_metschnikovii	CP035685	28172	662	CDC SME
Vibrio_mimicus	CP035682	674	662	CDC SME
Vibrio_mimicus	CP035683	674	662	CDC SME
Vibrio_navarrensis	CP046791	29495	662	CDC SME
Vibrio_navarrensis	CP046792	29495	662	CDC SME
Vibrio_parahaemolyticus	CP046827	670	717610	CDC SME
Vibrio_parahaemolyticus	CP046828	670	717610	CDC SME
Vibrio_vulnificus	CP046832	672	662	CDC SME
Vibrio_vulnificus	CP046833	672	662	CDC SME
Vicia_faba	KC189947	3906	3904	UGA SME
Xanthomonas_campestris	AE008922	339	338	NCBI-REF
Xylella_fastidiosa	CP000941	405440	2371	NCBI-REF
Yersinia_aldovae	CP009781	29483	629	NCBI-REF
Yersinia_bercovieri	CP054044	634	629	CDC SME
Yersinia_canariae	CP043727	2607663	629	NCBI-REF
Yersinia_enterocolitica	AM286415	630	629	CDC SME
Yersinia_enterocolitica	CP002246	630	629	CDC SME
Yersinia_frederiksenii	CP023962	29484	629	FDA-ARGOS
Yersinia_hibernica	CP032487	2339259	629	NCBI-REF
Yersinia_intermedia	CP009801	631	629	CDC SME
Yersinia_kristensenii	CP054049	631	629	CDC SME
Yersinia_massiliensis	CP054048	33060	629	CDC SME
Yersinia_mollaretii	CP054043	33060	629	NCBI-REF
Yersinia_pseudotuberculosis	CP009712	502800	633	CDC SME
Yersinia_rochesterensis	CP032482	1604335	629	NCBI-REF
Yersinia_rohdei	CP009787	29485	629	NCBI-REF
Mastadenovirus_adami	X73487	3241402	10509	ICTV
Mastadenovirus_caesari	J01917	3241411	10509	ICTV
Mastadenovirus_dominans	AJ854486	3241420	10509	ICTV
Mastadenovirus_exoticum	AY487947	3241425	10509	ICTV
Mastadenovirus_blackbeardi	DQ086466	3241406	10509	ICTV
Mastadenovirus_faecale	L19443	3241426	10509	ICTV
Mammarenavirus_lassaense	U73034	3052310	1653394	ICTV
Mammarenavirus_lassaense	J04324	3052310	1653394	ICTV
Alphacoronavirus_chicagoense	AF304460	3433756	2509480	ICTV
Alphacoronavirus_amsterdamense	AY567487	3433809	2509512	ICTV
Betacoronavirus_hongkongense	AY597011	3433758	2509481	ICTV
Betacoronavirus_gravedinis	AY585228	3433757	2509481	ICTV
Betacoronavirus_pandemicum	AY274119	3418604	2509511	ICTV
Betacoronavirus_cameli	JX869059	3433633	2509494	ICTV
Deltacoronavirus_suis	JQ065043	3433742	2509474	ICTV
Orthomarburgvirus_marburgense	DQ217792	3052505	3044783	ICTV
Orthoflavivirus_denguei	U87411	3052464	3700964	ICTV
Norovirus_norwalkense	M87661	3431196	142786	ICTV
Sapovirus_sapporoense	HM002617	3432266	95341	ICTV
Pegivirus_hominis	U44402	3052608	1307799	ICTV
Orthohantavirus_hantanense	M14627	3052480	1980442	ICTV
Orthohantavirus_hantanense	M14626	3052480	1980442	ICTV
Orthohantavirus_hantanense	X55901	3052480	1980442	ICTV
Orthopoxvirus_variola	X69198	3431487	10242	ICTV
Orthopoxvirus_monkeypox	AF380138	3431483	10242	ICTV
Orthopoxvirus_vaccinia	AY243312	10245	10242	ICTV
Molluscipoxvirus_molluscum	U60315	3430922	10278	ICTV
Orthohepadnavirus_hominoidei	V01460	3431302	10405	ICTV
Orthonairovirus_nairobiense	KM464726	3052529	1980517	ICTV
Orthonairovirus_nairobiense	KM464725	3052529	1980517	ICTV
Orthonairovirus_nairobiense	KM464724	3052529	1980517	ICTV
Alphainfluenzavirus_influenzae	V01106	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02147	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02146	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02151	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02150	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V01099	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V01088	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V00603	2955291	197911	ICTV
Betainfluenzavirus_influenzae	K00423	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02096	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02095	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02094	2955465	197912	ICTV
Betainfluenzavirus_influenzae	K01395	2955465	197912	ICTV
Betainfluenzavirus_influenzae	AF102017	2955465	197912	ICTV
Betainfluenzavirus_influenzae	AF101982	2955465	197912	ICTV
Betainfluenzavirus_influenzae	M14880	2955465	197912	ICTV
Deltainfluenzavirus_influenzae	JQ922308	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922306	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922311	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922310	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922309	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922307	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922305	2955744	1511083	ICTV
Gammainfluenzavirus_influenzae	AB126194	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB126193	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB126192	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB126191	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB126196	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB283001	2955935	197913	ICTV
Gammainfluenzavirus_influenzae	AB126195	2955935	197913	ICTV
Alphapapillomavirus_9	K02718	337041	333750	ICTV
Gammapapillomavirus_13	GU225708	1513258	325455	ICTV
Morbillivirus_hominis	AB016162	3052345	11229	ICTV
Orthorubulavirus_laryngotracheitidis	X57559	3052557	2560195	ICTV
Orthorubulavirus_hominis	AB543336	3052556	2560195	ICTV
Orthorubulavirus_parotitidis	AB040874	3052560	2560195	ICTV
Respirovirus_laryngotracheitidis	AF457102	3049952	186938	ICTV
Respirovirus_pneumoniae	EU326526	3049953	186938	ICTV
Bocaparvovirus_primate1	JQ923422	3052040	1507401	ICTV
Bocaparvovirus_primate2	FJ170278	3052041	1507401	ICTV
Erythroparvovirus_primate1	AY386330	3052189	40121	ICTV
Orthobunyavirus_bunyamweraense	M11852	3052381	11572	ICTV
Orthobunyavirus_bunyamweraense	D00353	3052381	11572	ICTV
Orthobunyavirus_bunyamweraense	X14383	3052381	11572	ICTV
Enterovirus_alphacoxsackie	AY421760	3428500	12059	ICTV
Enterovirus_betacoxsackie	M88483	3428502	12059	ICTV
Enterovirus_coxsackiepol	V01149	3428505	12059	ICTV
Enterovirus_deconjuncti	AY426531	3428506	12059	ICTV
Enterovirus_alpharhino	FJ445111	3428501	12059	ICTV
Enterovirus_betarhino	DQ473485	3428503	12059	ICTV
Enterovirus_cerhino	EF077279	3428504	12059	ICTV
Hepatovirus_fejalco	KT452685	3429217	12091	ICTV
Seadornavirus_bannaense	AF052018	3240447	208294	ICTV
Seadornavirus_bannaense	AF052017	3240447	208294	ICTV
Seadornavirus_bannaense	AF052016	3240447	208294	ICTV
Seadornavirus_bannaense	AF052015	3240447	208294	ICTV
Seadornavirus_bannaense	AF052014	3240447	208294	ICTV
Seadornavirus_bannaense	AF019908	3240447	208294	ICTV
Seadornavirus_bannaense	AF134518	3240447	208294	ICTV
Seadornavirus_bannaense	AF134517	3240447	208294	ICTV
Seadornavirus_bannaense	AF134516	3240447	208294	ICTV
Seadornavirus_bannaense	AF134515	3240447	208294	ICTV
Seadornavirus_bannaense	AF134514	3240447	208294	ICTV
Seadornavirus_bannaense	AF133430	3240447	208294	ICTV
Metapneumovirus_hominis	AF371337	3048148	162387	ICTV
Orthopneumovirus_hominis	M74568	3049954	1868215	ICTV
Betapolyomavirus_hominis	V01108	1891762	1891714	ICTV
Roseolovirus_humanbeta6b	AF157706	3050297	40272	ICTV
Simplexvirus_humanalpha1	JN555585	3050292	10294	ICTV
Varicellovirus_felidalpha1	FJ478159	3050284	10319	ICTV
